customer_id,Recency,Frequency,Monetary,RecencyBucket,FrequencyBucket
12346.0,326,12,77556.46,180+,6+
12347.0,2,8,4921.529999999996,0-30,6+
12348.0,75,5,2019.4,61-90,4-5
12349.0,19,4,4428.690000000002,0-30,4-5
12350.0,310,1,334.40000000000003,180+,1
12351.0,375,1,300.93,180+,1
12352.0,36,10,2849.8400000000015,31-60,6+
12353.0,204,2,406.76,180+,2-3
12354.0,232,1,1079.4,180+,1
12355.0,214,2,947.61,180+,2-3
12356.0,23,6,6371.729999999995,0-30,6+
12357.0,33,3,18287.659999999993,31-60,2-3
12358.0,2,5,3887.070000000003,0-30,4-5
12359.0,58,10,8873.389999999994,31-60,6+
12360.0,52,8,4252.89,31-60,6+
12361.0,287,4,511.24999999999994,180+,4-5
12362.0,3,11,5356.230000000002,0-30,6+
12363.0,110,2,552.0,91-180,2-3
12364.0,8,4,1313.1000000000001,0-30,4-5
12365.0,291,2,641.38,180+,2-3
12366.0,634,1,500.24,180+,1
12367.0,4,1,168.9,0-30,1
12368.0,628,1,917.7,180+,1
12369.0,413,3,1791.15,180+,2-3
12370.0,51,7,4316.559999999998,31-60,6+
12371.0,45,5,4067.3799999999983,31-60,4-5
12372.0,72,3,1298.0400000000002,61-90,2-3
12373.0,311,3,1127.65,180+,2-3
12374.0,25,4,2989.2200000000007,0-30,4-5
12375.0,11,2,457.5000000000001,0-30,2-3
12376.0,390,2,503.15,180+,2-3
12377.0,315,4,3426.319999999998,180+,4-5
12378.0,130,2,5416.32,91-180,2-3
12379.0,82,4,1620.22,61-90,4-5
12380.0,22,11,9676.300000000001,0-30,6+
12381.0,5,5,1845.3100000000006,0-30,4-5
12383.0,185,5,1850.5599999999997,180+,4-5
12384.0,29,2,585.2700000000001,0-30,2-3
12385.0,379,1,1938.3999999999999,180+,1
12386.0,338,2,401.90000000000003,180+,2-3
12387.0,415,1,143.94,180+,1
12388.0,16,8,3901.110000000001,0-30,6+
12389.0,403,3,1433.33,180+,2-3
12390.0,80,1,549.84,61-90,1
12391.0,22,6,2724.839999999994,0-30,6+
12392.0,591,1,234.75000000000006,180+,1
12393.0,72,6,2399.4500000000003,61-90,6+
12394.0,64,2,1272.48,61-90,2-3
12395.0,19,15,4721.169999999996,0-30,6+
12396.0,674,1,931.4300000000006,180+,1
12397.0,36,2,2409.9000000000005,31-60,2-3
12398.0,46,1,1635.6599999999999,31-60,1
12399.0,119,7,1962.3000000000013,91-180,6+
12400.0,414,1,205.25000000000003,180+,1
12401.0,303,1,84.3,180+,1
12402.0,323,6,1256.9000000000003,180+,6+
12403.0,50,2,1019.36,31-60,2-3
12404.0,682,1,63.24,180+,1
12405.0,149,1,1710.3900000000006,91-180,1
12406.0,22,5,6390.359999999998,0-30,4-5
12407.0,50,5,1708.1199999999997,31-60,4-5
12408.0,33,8,4340.770000000002,31-60,6+
12409.0,79,7,23419.289999999997,61-90,6+
12410.0,309,3,1013.7099999999999,180+,2-3
12411.0,410,1,346.9,180+,1
12412.0,75,6,2596.9300000000017,61-90,6+
12413.0,67,4,999.4499999999999,61-90,4-5
12414.0,217,6,952.4100000000001,180+,6+
12415.0,24,28,144458.36999999968,0-30,6+
12416.0,657,1,202.56000000000003,180+,1
12417.0,3,20,6797.409999999998,0-30,6+
12418.0,113,4,2021.2000000000003,91-180,4-5
12419.0,386,2,503.01,180+,2-3
12420.0,64,1,600.3900000000001,61-90,1
12421.0,16,6,1098.6,0-30,6+
12422.0,96,17,5231.7999999999965,91-180,6+
12423.0,1,10,2622.3899999999985,0-30,6+
12424.0,163,4,3340.03,91-180,4-5
12425.0,78,2,1741.4099999999996,61-90,2-3
12426.0,195,2,1345.2100000000005,180+,2-3
12427.0,22,3,825.8000000000002,0-30,2-3
12428.0,26,9,7956.460000000004,0-30,6+
12429.0,9,8,6204.409999999997,0-30,6+
12430.0,43,1,256.4,31-60,1
12431.0,36,27,10432.219999999992,31-60,6+
12432.0,43,5,5059.3200000000015,31-60,4-5
12433.0,1,10,16794.139999999992,0-30,6+
12434.0,85,3,1103.4299999999998,61-90,2-3
12435.0,80,6,13925.930000000008,61-90,6+
12436.0,100,1,509.01,91-180,1
12437.0,2,39,12683.400000000005,0-30,6+
12438.0,14,2,2906.8500000000004,0-30,2-3
12439.0,683,2,1142.8800000000003,180+,2-3
12440.0,462,2,859.2000000000002,180+,2-3
12441.0,367,1,173.55,180+,1
12442.0,3,1,172.06,0-30,1
12443.0,732,1,485.3100000000001,180+,1
12444.0,21,5,5005.46,0-30,4-5
12445.0,22,2,434.98,0-30,2-3
12446.0,58,1,1002.3099999999998,31-60,1
12447.0,243,1,476.49,180+,1
12448.0,44,1,449.4500000000001,31-60,1
12449.0,22,6,4835.889999999999,0-30,6+
12450.0,156,5,688.2,91-180,4-5
12451.0,11,8,12669.87999999999,0-30,6+
12452.0,17,2,430.5700000000001,0-30,2-3
12453.0,134,1,707.0899999999999,91-180,1
12454.0,56,5,16679.78,31-60,4-5
12455.0,73,10,5879.950000000002,61-90,6+
12456.0,44,3,3181.039999999998,31-60,2-3
12457.0,66,8,2995.91,61-90,6+
12458.0,71,4,1777.4900000000002,61-90,4-5
12459.0,605,1,454.3599999999999,180+,1
12460.0,456,1,326.65000000000003,180+,1
12461.0,94,2,826.8800000000002,91-180,2-3
12462.0,19,2,1189.5900000000001,0-30,2-3
12463.0,53,4,1344.7799999999997,31-60,4-5
12464.0,10,8,1212.05,0-30,6+
12465.0,17,2,742.1900000000002,0-30,2-3
12466.0,682,1,56.73,180+,1
12467.0,423,1,132.79999999999998,180+,1
12468.0,188,5,3670.7400000000002,180+,4-5
12469.0,523,2,3070.539999999998,180+,2-3
12470.0,690,1,211.95,180+,1
12471.0,2,80,39918.190000000046,0-30,6+
12472.0,32,19,16249.290000000014,31-60,6+
12473.0,29,5,3928.05,0-30,4-5
12474.0,17,31,12372.749999999995,0-30,6+
12475.0,54,2,1149.64,31-60,2-3
12476.0,16,23,14083.909999999982,0-30,6+
12477.0,23,9,20276.369999999995,0-30,6+
12478.0,4,1,680.9900000000002,0-30,1
12479.0,11,1,527.2,0-30,1
12480.0,28,7,5464.850000000001,0-30,6+
12481.0,23,15,12185.50999999999,0-30,6+
12482.0,576,29,23691.399999999983,180+,6+
12483.0,17,19,5097.179999999999,0-30,6+
12484.0,33,12,6354.100000000001,31-60,6+
12485.0,529,1,708.1,180+,1
12486.0,432,1,1037.2800000000002,180+,1
12487.0,731,1,285.3,180+,1
12488.0,10,3,1298.6599999999999,0-30,2-3
12489.0,336,1,334.93,180+,1
12490.0,5,21,9823.64000000001,0-30,6+
12491.0,39,1,460.40000000000003,31-60,1
12492.0,63,3,715.2100000000002,61-90,2-3
12493.0,166,2,433.74,91-180,2-3
12494.0,16,9,1815.270000000001,0-30,6+
12495.0,641,1,357.4000000000001,180+,1
12496.0,620,2,45.34,180+,2-3
12497.0,82,3,6248.499999999999,61-90,2-3
12498.0,21,3,403.70000000000005,0-30,2-3
12499.0,560,1,393.71999999999997,180+,1
12500.0,23,19,5955.210000000002,0-30,6+
12501.0,337,1,2169.3899999999994,180+,1
12502.0,96,5,3723.87,91-180,4-5
12503.0,584,1,1126.0,180+,1
12504.0,18,4,779.0500000000001,0-30,4-5
12505.0,409,1,955.2,180+,1
12506.0,233,1,73.50000000000003,180+,1
12507.0,134,4,1844.0600000000002,91-180,4-5
12508.0,26,2,397.88000000000005,0-30,2-3
12509.0,284,1,176.5,180+,1
12510.0,143,9,5178.019999999998,91-180,6+
12511.0,429,1,3084.0200000000004,180+,1
12512.0,66,2,132.18000000000006,61-90,2-3
12513.0,113,1,612.2900000000001,91-180,1
12514.0,267,2,1597.7600000000002,180+,2-3
12515.0,353,1,383.7,180+,1
12516.0,78,4,2648.62,61-90,4-5
12517.0,28,5,2481.5999999999995,0-30,4-5
12518.0,1,5,2056.8899999999994,0-30,4-5
12519.0,64,2,716.5400000000002,61-90,2-3
12520.0,79,5,2634.26,61-90,4-5
12521.0,143,1,599.6800000000001,91-180,1
12522.0,39,2,192.72000000000003,31-60,2-3
12523.0,19,23,4352.349999999998,0-30,6+
12524.0,9,17,11126.109999999991,0-30,6+
12525.0,498,3,973.7299999999998,180+,2-3
12526.0,1,3,1316.6600000000005,0-30,2-3
12527.0,82,5,735.5100000000001,61-90,4-5
12528.0,9,6,1933.4800000000007,0-30,6+
12529.0,528,1,316.47999999999996,180+,1
12530.0,60,9,3759.2600000000007,31-60,6+
12531.0,15,2,1933.1999999999998,0-30,2-3
12532.0,30,1,349.83,0-30,1
12533.0,628,2,1367.8899999999999,180+,2-3
12534.0,131,1,1089.18,91-180,1
12535.0,92,2,716.3500000000001,91-180,2-3
12536.0,43,3,12601.830000000005,31-60,2-3
12537.0,409,1,732.9399999999999,180+,1
12538.0,29,2,640.4499999999999,0-30,2-3
12539.0,22,7,11214.750000000007,0-30,6+
12540.0,20,33,22254.49000000004,0-30,6+
12541.0,30,3,981.1800000000002,0-30,2-3
12542.0,484,2,481.8799999999999,180+,2-3
12543.0,448,1,980.2500000000002,180+,1
12544.0,36,1,372.70000000000005,31-60,1
12545.0,75,2,1000.3899999999999,61-90,2-3
12546.0,47,2,1161.5,31-60,2-3
12547.0,198,3,383.5799999999999,180+,2-3
