customer_id,Recency,Frequency,Monetary,Loyalty
12346,326,12,77556.46,Repeat
12347,2,8,4921.529999999996,Repeat
12348,75,5,2019.4,Repeat
12349,19,4,4428.690000000002,Repeat
12350,310,1,334.40000000000003,One-time
12351,375,1,300.93,One-time
12352,36,10,2849.8400000000015,Repeat
12353,204,2,406.75999999999993,Repeat
12354,232,1,1079.4,One-time
12355,214,2,947.61,Repeat
12356,23,6,6371.729999999995,Repeat
12357,33,3,18287.659999999993,Repeat
12358,2,5,3887.070000000003,Repeat
12359,58,10,8873.389999999994,Repeat
12360,52,8,4252.89,Repeat
12361,287,4,511.24999999999994,Repeat
12362,3,11,5356.230000000002,Repeat
12363,110,2,552.0,Repeat
12364,8,4,1313.1000000000001,Repeat
12365,291,2,641.38,Repeat
12366,634,1,500.24,One-time
12367,4,1,168.9,One-time
12368,628,1,917.6999999999999,One-time
12369,413,3,1791.15,Repeat
12370,51,7,4316.559999999998,Repeat
12371,45,5,4067.3799999999983,Repeat
12372,72,3,1298.0400000000002,Repeat
12373,311,3,1127.65,Repeat
12374,25,4,2989.2200000000007,Repeat
12375,11,2,457.5000000000001,Repeat
12376,390,2,503.15,Repeat
12377,315,4,3426.319999999998,Repeat
12378,130,2,5416.32,Repeat
12379,82,4,1620.22,Repeat
12380,22,11,9676.300000000001,Repeat
12381,5,5,1845.3100000000006,Repeat
12383,185,5,1850.5599999999997,Repeat
12384,29,2,585.2700000000001,Repeat
12385,379,1,1938.3999999999999,One-time
12386,338,2,401.90000000000003,Repeat
12387,415,1,143.94,One-time
12388,16,8,3901.110000000001,Repeat
12389,403,3,1433.33,Repeat
12390,80,1,549.8399999999999,One-time
12391,22,6,2724.839999999994,Repeat
12392,591,1,234.75000000000003,One-time
12393,72,6,2399.45,Repeat
12394,64,2,1272.48,Repeat
12395,19,15,4721.169999999996,Repeat
12396,674,1,931.4300000000006,One-time
12397,36,2,2409.9000000000005,Repeat
12398,46,1,1635.6599999999999,One-time
12399,119,7,1962.3000000000013,Repeat
12400,414,1,205.25,One-time
12401,303,1,84.3,One-time
12402,323,6,1256.9000000000003,Repeat
12403,50,2,1019.36,Repeat
12404,682,1,63.24,One-time
12405,149,1,1710.3900000000006,One-time
12406,22,5,6390.359999999998,Repeat
12407,50,5,1708.1199999999997,Repeat
12408,33,8,4340.770000000002,Repeat
12409,79,7,23419.289999999997,Repeat
12410,309,3,1013.7099999999999,Repeat
12411,410,1,346.9,One-time
12412,75,6,2596.930000000001,Repeat
12413,67,4,999.4499999999998,Repeat
12414,217,6,952.4100000000001,Repeat
12415,24,28,144458.36999999968,Repeat
12416,657,1,202.56,One-time
12417,3,20,6797.409999999998,Repeat
12418,113,4,2021.2000000000003,Repeat
12419,386,2,503.01,Repeat
12420,64,1,600.3900000000001,One-time
12421,16,6,1098.6,Repeat
12422,96,17,5231.7999999999965,Repeat
12423,1,10,2622.3899999999985,Repeat
12424,163,4,3340.03,Repeat
12425,78,2,1741.4099999999996,Repeat
12426,195,2,1345.2100000000005,Repeat
12427,22,3,825.8000000000002,Repeat
12428,26,9,7956.460000000004,Repeat
12429,9,8,6204.409999999997,Repeat
12430,43,1,256.4,One-time
12431,36,27,10432.219999999992,Repeat
12432,43,5,5059.3200000000015,Repeat
12433,1,10,16794.139999999992,Repeat
12434,85,3,1103.4299999999998,Repeat
12435,80,6,13925.930000000008,Repeat
12436,100,1,509.01000000000005,One-time
12437,2,39,12683.400000000005,Repeat
12438,14,2,2906.8500000000004,Repeat
12439,683,2,1142.8800000000003,Repeat
12440,462,2,859.2000000000002,Repeat
12441,367,1,173.55,One-time
12442,3,1,172.06,One-time
12443,732,1,485.31000000000006,One-time
12444,21,5,5005.46,Repeat
12445,22,2,434.97999999999996,Repeat
12446,58,1,1002.3099999999998,One-time
12447,243,1,476.49,One-time
12448,44,1,449.4500000000001,One-time
12449,22,6,4835.889999999999,Repeat
12450,156,5,688.2,Repeat
12451,11,8,12669.87999999999,Repeat
12452,17,2,430.57000000000005,Repeat
12453,134,1,707.0899999999999,One-time
12454,56,5,16679.78,Repeat
12455,73,10,5879.950000000002,Repeat
12456,44,3,3181.039999999998,Repeat
12457,66,8,2995.91,Repeat
12458,71,4,1777.4900000000002,Repeat
12459,605,1,454.3599999999999,One-time
12460,456,1,326.65,One-time
12461,94,2,826.8800000000001,Repeat
12462,19,2,1189.5900000000001,Repeat
12463,53,4,1344.7799999999997,Repeat
12464,10,8,1212.0499999999997,Repeat
12465,17,2,742.1900000000002,Repeat
12466,682,1,56.73,One-time
12467,423,1,132.79999999999998,One-time
12468,188,5,3670.7400000000007,Repeat
12469,523,2,3070.539999999998,Repeat
12470,690,1,211.95000000000002,One-time
12471,2,79,39918.190000000046,Repeat
12472,32,19,16249.290000000014,Repeat
12473,29,5,3928.05,Repeat
12474,17,31,12372.749999999995,Repeat
12475,54,2,1149.64,Repeat
12476,16,23,14083.909999999982,Repeat
12477,23,9,20276.369999999995,Repeat
12478,4,1,680.9900000000002,One-time
12479,11,1,527.2,One-time
12480,28,7,5464.850000000001,Repeat
12481,23,15,12185.50999999999,Repeat
12482,576,29,23691.399999999983,Repeat
12483,17,19,5097.1799999999985,Repeat
12484,33,12,6354.100000000001,Repeat
12485,529,1,708.0999999999999,One-time
12486,432,1,1037.2800000000002,One-time
12487,731,1,285.29999999999995,One-time
12488,10,3,1298.6599999999999,Repeat
12489,336,1,334.92999999999995,One-time
12490,5,21,9823.64000000001,Repeat
12491,39,1,460.4000000000001,One-time
12492,63,3,715.2100000000002,Repeat
12493,166,2,433.74,Repeat
12494,16,9,1815.270000000001,Repeat
12495,641,1,357.4,One-time
12496,620,2,45.339999999999996,Repeat
12497,82,3,6248.499999999999,Repeat
12498,21,3,403.7,Repeat
12499,560,1,393.71999999999997,One-time
12500,23,19,5955.210000000002,Repeat
12501,337,1,2169.3899999999994,One-time
12502,96,5,3723.87,Repeat
12503,584,1,1126.0,One-time
12504,18,4,779.0500000000002,Repeat
12505,409,1,955.2,One-time
12506,233,1,73.50000000000003,One-time
12507,134,4,1844.0600000000002,Repeat
12508,26,2,397.88000000000005,Repeat
12509,284,1,176.5,One-time
12510,143,9,5178.019999999998,Repeat
12511,429,1,3084.0200000000004,One-time
12512,66,2,132.18000000000006,Repeat
12513,113,1,612.2900000000001,One-time
12514,267,2,1597.7600000000002,Repeat
12515,353,1,383.7,One-time
12516,78,4,2648.62,Repeat
12517,28,5,2481.5999999999995,Repeat
12518,1,5,2056.8899999999994,Repeat
12519,64,2,716.5400000000002,Repeat
12520,79,5,2634.26,Repeat
12521,143,1,599.6800000000001,One-time
12522,39,2,192.72000000000003,Repeat
12523,19,23,4352.349999999998,Repeat
12524,9,17,11126.109999999991,Repeat
12525,498,3,973.7299999999998,Repeat
12526,1,3,1316.6600000000005,Repeat
12527,82,5,735.5100000000001,Repeat
12528,9,6,1933.4800000000007,Repeat
12529,528,1,316.47999999999996,One-time
12530,60,9,3759.2600000000007,Repeat
12531,15,2,1933.1999999999998,Repeat
12532,30,1,349.83,One-time
12533,628,2,1367.8899999999996,Repeat
12534,131,1,1089.18,One-time
12535,92,2,716.3500000000001,Repeat
12536,43,3,12601.830000000005,Repeat
12537,409,1,732.9399999999998,One-time
12538,29,2,640.4499999999999,Repeat
12539,22,7,11214.750000000007,Repeat
12540,20,33,22254.49000000004,Repeat
12541,30,3,981.1800000000002,Repeat
12542,484,2,481.8799999999999,Repeat
12543,448,1,980.2500000000002,One-time
12544,36,1,372.7,One-time
12545,75,2,1000.3899999999999,Repeat
12546,47,2,1161.5,Repeat
12547,198,3,383.5799999999999,Repeat
12548,166,1,95.19999999999999,One-time
12549,576,6,1575.6799999999998,Repeat
12550,79,1,964.8299999999994,One-time
12551,358,1,168.0,One-time
12552,39,2,437.81999999999994,Repeat
12553,8,12,4608.750000000004,Repeat
12554,449,1,468.49999999999994,One-time
12555,682,1,129.23,One-time
12556,50,2,599.5599999999997,Repeat
12557,16,8,18096.14,Repeat
12558,8,1,269.96000000000004,One-time
12559,311,2,561.7099999999999,Repeat
12560,5,3,2134.01,Repeat
12561,303,1,238.85,One-time
12562,8,9,4966.920000000003,Repeat
12563,409,1,249.24,One-time
12564,261,1,456.9000000000001,One-time
12565,289,1,145.92,One-time
12566,86,1,351.65000000000003,One-time
12567,23,15,11767.48,Repeat
12568,645,1,70.0,One-time
12569,2,32,4124.689999999999,Repeat
12570,682,1,77.52,One-time
12571,40,2,519.6099999999999,Repeat
12572,9,2,1020.4200000000003,Repeat
12573,227,5,717.4100000000001,Repeat
12574,316,1,218.45000000000002,One-time
12575,457,2,622.8199999999999,Repeat
12576,36,8,2142.7200000000003,Repeat
12577,35,8,1617.1000000000008,Repeat
12578,21,4,4642.45,Repeat
12579,78,1,440.41999999999996,One-time
12580,247,2,1052.9,Repeat
12581,40,1,197.70999999999998,One-time
12582,239,4,1980.4,Repeat
12583,3,27,13591.580000000007,Repeat
12584,4,9,2338.1499999999996,Repeat
12585,234,2,2040.099999999999,Repeat
12586,17,4,2062.670000000001,Repeat
12587,8,1,144.0,One-time
12588,39,4,958.78,Repeat
12589,29,8,4695.66,Repeat
12590,211,2,9864.260000000004,Repeat
12591,317,3,1338.9500000000005,Repeat
12592,92,5,2582.6600000000003,Repeat
12593,109,3,418.09999999999997,Repeat
12594,38,15,5090.110000000005,Repeat
12595,505,1,299.02000000000004,One-time
12596,51,2,618.27,Repeat
12597,19,4,3811.2200000000016,Repeat
12598,10,11,4534.089999999998,Repeat
12599,29,13,2296.7199999999993,Repeat
12600,29,21,4967.420000000003,Repeat
12601,190,6,681.26,Repeat
12602,59,1,153.12000000000003,One-time
12603,22,1,739.1999999999999,One-time
12604,79,2,254.17999999999995,Repeat
12605,376,4,1232.9499999999996,Repeat
12606,682,1,21.0,One-time
12607,60,1,1579.51,One-time
12608,405,1,415.78999999999996,One-time
12609,78,9,3435.859999999999,Repeat
12610,23,5,2099.540000000001,Repeat
12611,52,1,1193.32,One-time
12612,74,1,704.0400000000001,One-time
12613,57,10,6817.370000000007,Repeat
12614,278,1,315.59999999999997,One-time
12615,2,8,5740.9800000000005,Repeat
12616,95,3,1131.1,Repeat
12617,29,1,352.9800000000002,One-time
12618,22,1,177.31,One-time
12619,16,10,3781.3800000000006,Repeat
12620,15,3,1339.4099999999999,Repeat
12621,2,35,24311.200000000008,Repeat
12622,232,1,180.09999999999997,One-time
12623,276,7,3747.84,Repeat
12624,106,2,641.1300000000001,Repeat
12625,212,4,5164.879999999999,Repeat
12626,23,9,6620.479999999998,Repeat
12627,11,7,4478.53,Repeat
12628,4,3,786.4599999999998,Repeat
12629,386,2,1558.2199999999998,Repeat
12630,10,2,1270.8799999999999,Repeat
12631,57,6,3481.5699999999997,Repeat
12632,521,2,804.8799999999999,Repeat
12633,59,7,5678.160000000003,Repeat
12634,536,2,490.0,Repeat
12635,90,4,2930.4100000000017,Repeat
12636,739,1,141.0,One-time
12637,67,12,8283.810000000007,Repeat
12638,33,2,921.4900000000001,Repeat
12639,239,3,1312.37,Repeat
12640,24,3,1174.58,Repeat
12641,115,1,185.9,One-time
12642,25,3,1013.26,Repeat
12643,128,12,8304.819999999998,Repeat
12644,130,4,1918.490000000001,Repeat
12645,34,8,3539.300000000002,Repeat
12646,5,2,1346.9700000000003,Repeat
12647,22,36,16955.549999999996,Repeat
12648,155,4,1112.0,Repeat
12649,107,8,2294.65,Repeat
12650,3,1,314.44,One-time
12651,335,4,377.75,Repeat
12652,331,2,1017.03,Repeat
12653,149,3,4160.83,Repeat
12654,11,5,601.98,Repeat
12655,424,1,261.35,One-time
12656,17,8,6407.830000000003,Repeat
